"zip","population","zip_code","latitude","longitude","city","state","county"
77494,126310,77494,29.834,-95.4342,"Katy","TX","Fort Bend"
77449,123157,77449,29.834,-95.4342,"Katy","TX","Harris"
75034,116155,75034,33.1522,-96.7964,"Frisco","TX","Collin"
90011,110750,90011,33.9893,-118.25,"Los Angeles","CA","Los Angeles"
75070,109085,75070,33.2304,-96.627,"McKinney","TX","Collin"
79936,108668,79936,31.7112,-106.243,"El Paso","TX","El Paso"
11368,108661,11368,40.7488,-73.8543,"Corona","NY","Queens"
77084,108161,77084,29.834,-95.4342,"Houston","TX","Harris"
60629,107930,60629,41.8119,-87.6873,"Chicago","IL","Cook"
11385,105025,11385,40.7024,-73.886,"Ridgewood","NY","Queens"
11211,104561,11211,40.7078,-73.9453,"Brooklyn","NY","Kings"
90650,104524,90650,33.9068,-118.077,"Norwalk","CA","Los Angeles"
8701,104186,8701,39.9452,-74.1498,"Lakewood","NJ","Ocean"
91331,103683,91331,33.7866,-118.299,"Pacoima","CA","Los Angeles"
11208,102626,11208,40.6622,-73.9129,"Brooklyn","NY","Kings"
78660,101937,78660,30.4427,-97.5971,"Pflugerville","TX","Travis"
10467,100867,10467,40.8763,-73.8704,"Bronx","NY","Bronx"
90201,100512,90201,33.9767,-118.169,"Bell","CA","Los Angeles"
90044,99980,90044,33.9381,-118.286,"Los Angeles","CA","Los Angeles"
92335,99242,92335,34.1598,-114.301,"Fontana","CA","San Bernardino"
37013,99109,37013,36.036,-86.6456,"Antioch","TN","Davidson"
11236,98821,11236,40.657,-73.9158,"Brooklyn","NY","Kings"
92336,98731,92336,34.1223,-116.247,"Fontana","CA","San Bernardino"
94565,97249,94565,38.0031,-121.917,"Pittsburg","CA","Contra Costa"
11373,96495,11373,40.7351,-73.8776,"Elmhurst","NY","Queens"
11226,96332,11226,40.645,-73.9563,"Brooklyn","NY","Kings"
77479,95615,77479,29.5529,-95.6668,"Sugar Land","TX","Fort Bend"
90250,95115,90250,33.7866,-118.299,"Hawthorne","CA","Los Angeles"
90805,95094,90805,33.8388,-118.158,"Long Beach","CA","Los Angeles"
90280,94905,90280,33.9377,-118.193,"South Gate","CA","Los Angeles"
60618,94646,60618,41.8119,-87.6873,"Chicago","IL","Cook"
91342,94432,91342,33.7866,-118.299,"Sylmar","CA","Los Angeles"
77433,94345,77433,29.834,-95.4342,"Cypress","TX","Harris"
75052,94060,75052,32.7673,-96.7776,"Grand Prairie","TX","Dallas"
30044,93987,30044,33.9418,-84.0706,"Lawrenceville","GA","Gwinnett"
92503,93032,92503,33.7529,-116.056,"Riverside","CA","Riverside"
10025,92162,10025,40.7987,-73.9678,"New York City","NY","New York"
77584,91993,77584,29.5402,-95.3323,"Pearland","TX","Brazoria"
29483,91630,29483,33.0402,-80.4317,"Summerville","SC","Dorchester"
77573,91454,77573,29.4965,-95.0523,"League City","TX","Galveston"
11207,90867,11207,40.6709,-73.8952,"Brooklyn","NY","Kings"
92683,90833,92683,33.6403,-117.769,"Westminster","CA","Orange"
11220,90657,11220,40.6349,-74.0169,"Brooklyn","NY","Kings"
77429,90506,77429,29.834,-95.4342,"Cypress","TX","Harris"
91710,90481,91710,34.1598,-114.301,"Chino","CA","San Bernardino"
10456,90479,10456,40.8305,-73.9087,"Bronx","NY","Bronx"
11214,90372,11214,40.5995,-73.9986,"Brooklyn","NY","Kings"
11234,90372,11234,40.6109,-73.9139,"Brooklyn","NY","Kings"
10314,89938,10314,40.591,-74.1507,"Staten Island","NY","Richmond"
92154,89886,92154,32.628,-117.035,"San Diego","CA","San Diego"
78521,89629,78521,26.0986,-97.5069,"Brownsville","TX","Cameron"
